year,deficit_with_stabilizers,deficit_without_stabilizers,stabilizer_effect,deficit_pct_with_stabilizers,deficit_pct_without_stabilizers,stabilizer_effect_pct
1965,-1.4,-4.7,3.3000000000000003,-0.201,-0.669,0.468
1966,-3.7,-13.9,10.2,-0.495,-1.857,1.362
1967,-8.6,-19.4,10.799999999999999,-1.075,-2.418,1.3430000000000002
1968,-25.2,-34.7,9.500000000000004,-2.893,-3.986,1.0930000000000004
1969,3.2,-8.4,11.600000000000001,0.341,-0.879,1.22
1970,-2.8,-7.2,4.4,-0.273,-0.693,0.41999999999999993
1971,-23,-18.5,-4.5,-2.04,-1.637,-0.403
1972,-23.4,-20.5,-2.8999999999999986,-1.912,-1.676,-0.236
1973,-14.9,-25.1,10.200000000000001,-1.132,-1.909,0.7770000000000001
1974,-6.1,-15.4,9.3,-0.42,-1.057,0.637
1975,-53.2,-34.8,-18.400000000000006,-3.199,-2.089,-1.1099999999999999
1976,-73.7,-51.4,-22.300000000000004,-4.015,-2.8,-1.2149999999999999
1977,-53.7,-43.5,-10.200000000000003,-2.622,-2.124,-0.4979999999999998
1978,-59.2,-64.1,4.8999999999999915,-2.618,-2.837,0.2190000000000003
1979,-40.7,-56,15.299999999999997,-1.61,-2.215,0.6049999999999998
1980,-73.8,-61.8,-12.0,-2.605,-2.181,-0.42399999999999993
1981,-79,-54.4,-24.6,-2.48,-1.707,-0.7729999999999999
1982,-128,-61.1,-66.9,-3.653,-1.745,-1.908
1983,-207.8,-113.8,-94.00000000000001,-5.514,-3.02,-2.494
1984,-185.4,-152.5,-32.900000000000006,-4.595,-3.779,-0.8159999999999998
1985,-212.3,-196.8,-15.5,-4.914,-4.554,-0.35999999999999943
1986,-221.2,-207.2,-14.0,-4.836,-4.528,-0.3080000000000007
1987,-149.7,-129.9,-19.799999999999983,-3.098,-2.687,-0.41100000000000003
1988,-155.2,-153.3,-1.8999999999999773,-3.011,-2.976,-0.03500000000000014
1989,-152.6,-165.9,13.300000000000011,-2.762,-3.003,0.2410000000000001
1990,-221,-225.1,4.099999999999994,-3.746,-3.815,0.06899999999999995
1991,-269.2,-210.4,-58.79999999999998,-4.29,-3.352,-0.9380000000000002
1992,-290.3,-217.7,-72.60000000000002,-4.406,-3.304,-1.1019999999999999
1993,-255.1,-197.8,-57.29999999999998,-3.691,-2.863,-0.8279999999999998
1994,-203.2,-172.7,-30.5,-2.805,-2.385,-0.4200000000000004
1995,-164,-154.8,-9.199999999999989,-2.159,-2.039,-0.11999999999999966
1996,-107.4,-106.2,-1.2000000000000028,-1.351,-1.335,-0.016000000000000014
1997,-21.9,-50.7,28.800000000000004,-0.262,-0.606,0.344
1998,69.3,16.8,52.5,0.786,0.191,0.595
1999,125.6,53.2,72.39999999999999,1.349,0.572,0.777
2000,236.2,148.2,88.0,2.381,1.493,0.8879999999999997
2001,128.2,104.6,23.599999999999994,1.216,0.992,0.22399999999999998
2002,-157.8,-92.8,-65.00000000000001,-1.43,-0.842,-0.588
2003,-377.6,-285.9,-91.70000000000005,-3.276,-2.48,-0.7959999999999998
2004,-412.7,-368.5,-44.19999999999999,-3.409,-3.043,-0.36599999999999966
2005,-318.3,-320.9,2.599999999999966,-2.487,-2.507,0.020000000000000018
2006,-248.2,-286.3,38.10000000000002,-1.835,-2.116,0.28100000000000014
2007,-160.7,-211.6,50.900000000000006,-1.133,-1.493,0.3600000000000001
2008,-458.6,-469.4,10.799999999999955,-3.105,-3.179,0.07399999999999984
2009,-1412.7,-1173.2,-239.5,-9.309,-7.731,-1.5779999999999994
2010,-1294.4,-976,-318.4000000000001,-8.339,-6.287,-2.0520000000000005
2011,-1299.6,-1005.4,-294.19999999999993,-8.083,-6.253,-1.83
2012,-1076.6,-827.3,-249.29999999999995,-6.464,-4.967,-1.4970000000000008
2013,-679.8,-437.2,-242.59999999999997,-3.938,-2.533,-1.4050000000000002
2014,-484.8,-293,-191.8,-2.709,-1.638,-1.0710000000000002
2015,-442,-335.8,-106.19999999999999,-2.398,-1.822,-0.5760000000000001
2016,-584.7,-497.9,-86.80000000000007,-3.089,-2.631,-0.4580000000000002
2017,-665.5,-604.9,-60.60000000000002,-3.396,-3.088,-0.30799999999999983
2018,-779.1,-798.6,19.5,-3.815,-3.911,0.09600000000000009
2019,-983.6,-1026.1,42.499999999999886,-4.632,-4.832,0.20000000000000018
2020,-3132.5,-2859.1,-273.4000000000001,-14.274,-13.029,-1.2449999999999992
2021,-2775.4,-2597.5,-177.9000000000001,-11.998,-11.229,-0.7690000000000001
2022,-1375.9,-1418.9,43.0,-5.452,-5.622,0.16999999999999993
2023,-1693.7,-1753.4,59.700000000000045,-6.289,-6.51,0.22100000000000009
2024,-1915.2,-2038.8,123.59999999999991,-6.792,-7.231,0.43900000000000006
