year,japan_debt_pct_gdp,japan_10y_yield,japan_real_gdp_growth
1980,47.776,,
1981,52.815,,
1982,57.73,,
1983,63.511,,
1984,65.602,,
1985,68.31,,
1986,74.079,,
1987,75.833,,
1988,71.944,,
1989,65.674,5.12725,
1990,63.233,6.959916666666667,
1991,62.385,6.336666666666667,
1992,66.766,5.326583333333333,
1993,72.838,4.320916666666666,
1994,84.361,4.363333333333333,
1995,92.526,3.4435000000000002,2.3336833620548614
1996,98.054,3.1014999999999997,3.1238394038551887
1997,104.971,2.373666666666667,1.367268663016219
1998,116.02,1.5414166666666667,-1.8205051278927686
1999,129.501,1.7489999999999999,-0.25915442524407917
2000,135.609,1.7444166666666667,2.955979223441574
2001,145.124,1.319,0.2707464652849767
2002,154.096,1.2631666666666665,0.05232802706855999
2003,160.021,1.00325,1.4167362208864498
2004,169.49,1.4926666666666666,2.1023394321003863
2005,174.595,1.35475,1.8448635704424454
2006,174.143,1.7405,1.5201947563273643
2007,172.951,1.6655,1.7212866633148138
2008,180.851,1.4673333333333334,-1.1589374012580977
2009,198.807,1.33375,-5.935990408520031
2010,205.879,1.1483333333333332,4.131959000434926
2011,219.162,1.1024166666666668,-0.18552391424730974
2012,226.093,0.8355833333333332,1.6564709585346504
2013,229.451,0.6896666666666667,2.021223401610217
2014,233.281,0.5203333333333333,0.8189798094351497
2015,228.278,0.35000000000000003,1.8509391188458402
2016,232.421,-0.06625,0.670759032247692
2017,231.321,0.051666666666666666,1.6248249719414742
2018,232.38,0.065,0.8531651948253893
2019,236.381,-0.11041666666666666,-0.3119859605887565
2020,258.369,-0.005416666666666667,-4.330471052082618
2021,253.652,0.07166666666666667,3.6559078939091494
2022,248.309,0.23166666666666666,1.2908777856626363
2023,239.971,0.5625,0.7165731875494297
2024,236.66,0.9183333333333333,-0.2328184931937871
2025,234.858,1.5533333333333335,1.1929258255154007
2026,233.73,2.175,
2027,232.099,,
2028,231.212,,
2029,231.085,,
2030,231.676,,
