scenario,year,net_interest_billions
feb_2026_current_law,2025,969.9
feb_2026_current_law,2026,1039.0
feb_2026_current_law,2027,1107.7
feb_2026_current_law,2028,1217.8
feb_2026_current_law,2029,1324.5
feb_2026_current_law,2030,1431.8
feb_2026_current_law,2031,1548.4
feb_2026_current_law,2032,1670.4
feb_2026_current_law,2033,1784.4
feb_2026_current_law,2034,1903.8
feb_2026_current_law,2035,2019.1
feb_2026_current_law,2036,2144.3
jan_2025_baseline,2026,1010.3
jan_2025_baseline,2027,1075.2
jan_2025_baseline,2028,1164.5
jan_2025_baseline,2029,1247.2
jan_2025_baseline,2030,1327.5
jan_2025_baseline,2031,1417.0
jan_2025_baseline,2032,1513.9
jan_2025_baseline,2033,1604.5
jan_2025_baseline,2034,1693.6
jan_2025_baseline,2035,1782.6
